#node,interface,mac,comments,disable
"node183","eth0","00:11:25:9d:11:7c",,
"node184","eth0","00:11:25:9d:11:6e",,
"node186","eth0","00:11:25:9d:11:e2",,
"node188","eth0","00:11:25:9d:11:d2",,
"node189","eth0","00:11:25:9d:11:cc",,
"node191","eth0","00:11:25:9d:11:92",,
"node195","eth0","00:11:25:9d:11:b4",,
"node196","eth0","00:11:25:9d:12:06",,
"node201","eth0","00:11:25:9d:11:a6",,
"node205","eth0","00:11:25:9d:11:1a",,
"node208","eth0","00:11:25:9b:18:66",,
"node210","eth0","00:11:25:9d:0d:d6",,
"node213","eth0","00:11:25:9d:11:c6",,
"node214","eth0","00:11:25:9d:11:66",,
"node151","eth0","00:11:25:9c:9c:9a",,
"node159","eth0","00:11:25:9c:9e:18",,
"node190","eth0","00:11:25:9d:12:46",,
"node202","eth0","00:11:25:9d:0e:0c",,
"node207","eth0","00:11:25:9d:11:16",,
"node141","eth0","00:11:25:9c:9a:2a",,
"node165","eth0","00:14:5e:3c:35:ce",,
"node148","eth0","00:14:5e:3c:9d:3e",,
"node150","eth0","00:11:25:9c:9e:e6",,
"node185","eth0","00:11:25:9d:11:da",,
"node187","eth0","00:11:25:9d:11:c2",,
"node192","eth0","00:11:25:9d:12:12",,
"node194","eth0","00:11:25:4a:95:3c",,
"node203","eth0","00:11:25:9d:12:08",,
"node204","eth0","00:11:25:9b:17:d8",,
"node209","eth0","00:11:25:9d:0e:54",,
"node1337","eth0","A4:BA:DB:0C:C2:20",,
"node231","eth0","00:14:5e:3c:66:76",,
"node229","eth0","00:14:5e:3c:9c:ac",,
"node232","eth0","00:14:5e:3c:8b:ce",,
"node233","eth0","00:14:5e:3c:66:92",,
"node234","eth0","00:14:5e:3c:65:a6",,
"node235","eth0","00:14:5e:3c:65:f2",,
"node238","eth0","00:14:5e:3c:92:76",,
"node239","eth0","00:11:25:4a:59:5e",,
"node240","eth0","00:14:5e:3c:92:78",,
"node241","eth0","00:14:5e:3c:8b:f4",,
"node242","eth0","00:14:5e:3c:9c:20",,
"node1344","eth0","00:1D:09:FD:3F:0C",,
"node1339","eth0","00:1D:09:FD:3E:94",,
"node1342","eth0","00:1D:09:FD:3F:58",,
"node1343","eth0","00:1D:09:FD:3F:10",,
"node156","eth0","00:14:5e:3c:9e:7c",,
"node166","eth0","00:11:25:9c:9b:86",,
"node167","eth0","00:11:25:9c:9b:56",,
"node236","eth0","00:14:5e:3c:66:8c",,
"node341","eth0","00:14:5E:F5:11:C4",,
"node342","eth0","00:14:5E:F5:12:64",,
"node343","eth0","00:14:5E:F5:1B:B8",,
"node344","eth0","00:14:5E:F5:16:5E",,
"node345","eth0","00:14:5E:F5:1B:7C",,
"node346","eth0","00:14:5E:F5:1B:78",,
"node347","eth0","00:14:5E:F5:15:FC",,
"node348","eth0","00:14:5E:F5:10:D0",,
"node349","eth0","00:14:5E:F5:1C:B6",,
"node351","eth0","00:14:5E:F5:1B:44",,
"node352","eth0","00:14:5E:F5:15:90",,
"node353","eth0","00:14:5E:F5:1B:F0",,
"node354","eth0","00:14:5E:F5:1B:E8",,
"node397","eth0","00:14:5E:F5:15:DC",,
"node398","eth0","00:14:5E:F5:1C:24",,
"node399","eth0","00:14:5E:F5:21:C8",,
"node400","eth0","00:14:5E:F5:21:86",,
"node401","eth0","00:14:5E:F5:22:1C",,
"node402","eth0","00:14:5E:F5:0A:62",,
"node403","eth0","00:14:5E:F5:15:FE",,
"node405","eth0","00:14:5E:F5:19:6C",,
"node406","eth0","00:14:5E:F5:13:B0",,
"node407","eth0","00:14:5E:F5:03:0A",,
"node408","eth0","00:14:5E:F5:13:10",,
"node444","eth0","00:1A:64:BD:15:B6",,
"node449","eth0","00:1A:64:BD:0B:74",,
"node450","eth0","00:1A:64:BD:0F:B2",,
"node451","eth0","00:1A:64:BD:1C:BC",,
"node439","eth0","00:1A:64:BD:15:1A",,
"node440","eth0","00:1A:64:BD:19:F0",,
"node441","eth0","00:1A:64:BD:12:20",,
"node443","eth0","00:1a:64:bd:13:dc",,
"node428","eth0","00:1A:64:BD:12:2A",,
"node429","eth0","00:1A:64:BD:12:26",,
"node430","eth0","00:14:5E:F5:33:CC",,
"node434","eth0","00:1A:64:BD:1B:2E",,
"node445","eth0","00:14:5E:F5:89:2A",,
"node447","eth0","00:1A:64:BD:11:F4",,
"node425","eth0","00:1a:64:bd:14:dc",,
"node426","eth0","00:14:5e:6d:30:a0",,
"node431","eth0","00:1A:64:BD:15:04",,
"node438","eth0","00:1A:64:BD:15:0E",,
"hardac","eth0","00:21:9B:FF:1C:90",,
"node432","eth0","00:1A:64:BD:0B:14",,
"node446","eth0","00:1A:64:BD:10:56",,
"node448","eth0","00:1A:64:BD:1A:8C",,
"node453","eth0","00:1A:64:BD:30:CA",,
"node454","eth0","00:1a:64:bd:15:dc",,
"node455","eth0","00:1A:64:BD:1D:98",,
"node456","eth0","00:14:5E:F5:2E:14",,
"node457","eth0","00:1A:64:BD:12:18",,
"node459","eth0","00:1A:64:BD:10:A6",,
"node460","eth0","00:14:5e:6d:2d:9c",,
"node462","eth0","00:1A:64:BD:1E:E2",,
"node463","eth0","00:1A:64:BD:17:B6",,
"node464","eth0","00:1A:64:BD:1F:46",,
"node465","eth0","00:14:5E:F5:33:C2",,
"node466","eth0","00:14:5e:6d:42:ec",,
"node1066","eth0","00:1D:09:FC:C1:A0",,
"node1070","eth0","00:1D:09:FC:BE:34",,
"node1071","eth0","00:1D:09:FC:BC:20",,
"node1073","eth0","00:1D:09:FC:BF:E4",,
"node1074","eth0","00:1D:09:FC:C8:58",,
"node1075","eth0","00:1D:09:FC:C8:34",,
"node1079","eth0","00:1D:09:FC:E2:80",,
"node427","eth0","00:1A:64:BD:13:04",,
"node433","eth0","00:1A:64:BD:1D:B2",,
"node435","eth0","00:1A:64:BD:0B:FC",,
"node437","eth0","00:1A:64:BD:1D:4A",,
"node442","eth0","00:1A:64:BD:11:FC",,
"node452","eth0","00:1A:64:BD:18:58",,
"node458","eth0","00:1A:64:BD:0B:A8",,
"node461","eth0","00:1A:64:BD:15:E8",,
"node1072","eth0","00:1D:09:FC:C3:B0",,
"node1349","eth0","00:1D:09:FD:3F:00",,
"node1336","eth0","00:1D:09:FD:3E:34",,
"node1067","eth0","00:1D:09:FC:C5:BC",,
"node1068","eth0","00:1D:09:FC:C6:44",,
"node1352","eth0","00:1D:09:FD:3F:F4",,
"node1354","eth0","00:1D:09:FD:40:3C",,
"node1355","eth0","00:1D:09:FD:3F:EC",,
"node1357","eth0","00:1D:09:FD:3F:BC",,
"node1358","eth0","00:1D:09:FD:3F:94",,
"node1359","eth0","00:1D:09:FD:3E:C4",,
"node1360","eth0","00:1D:09:FD:3B:70",,
"node1362","eth0","00:1D:09:FD:3E:7C",,
"node1363","eth0","00:1D:09:FD:3D:90",,
"node404","eth0","00:14:5E:F5:1B:EA",,
"node409","eth0","00:14:5E:F5:19:64",,
"node1069","eth0","00:18:8b:ff:a3:36",,
"node1076","eth0","00:1D:09:FC:C8:60",,
"node1088","eth0","00:1D:09:FC:D5:30",,
"node1089","eth0","00:1D:09:FC:D4:50",,
"node1092","eth0","00:1D:09:FC:C1:5C",,
"node1093","eth0","00:1D:09:FC:BC:D8",,
"node1094","eth0","00:1D:09:FC:C1:30",,
"node1095","eth0","00:18:8B:FF:B0:22",,
"node1081","eth0","00:1D:09:FC:C4:A4",,
"node1082","eth0","00:1D:09:FC:DD:7C",,
"node1084","eth0","00:1D:09:FC:C0:38",,
"node1085","eth0","00:1D:09:FC:C8:64",,
"node1086","eth0","00:1D:09:FC:C4:88",,
"node1101","eth0","00:1D:09:FC:C7:00",,
"node1102","eth0","00:1D:09:FC:C8:84",,
"node1103","eth0","00:1D:09:FC:D4:98",,
"node1106","eth0","00:1D:09:FC:D4:38",,
"node1096","eth0","00:1D:09:FC:B8:38",,
"node1107","eth0","00:1D:09:FC:CF:C8",,
"node1108","eth0","00:1D:09:FC:C9:D0",,
"node1098","eth0","00:1D:09:FC:CA:24",,
"node1110","eth0","00:1D:09:FC:D4:1C",,
"node1109","eth0","00:1D:09:FC:C0:10",,
"node1099","eth0","00:1D:09:FC:D4:F8",,
"gsa1","eth0","00:22:19:11:80:F1",,
"node1356","eth0","00:1D:09:FD:3D:E0",,
"node1361","eth0","00:1D:09:FD:3F:FC",,
"node1338","eth0","00:1D:09:FD:3D:E8",,
"node1341","eth0","00:1D:09:FD:40:34",,
"node1345","eth0","00:1D:09:FD:3F:5C",,
"gsa2","eth0","00:22:19:04:49:8F",,
"node372","eth0","00:14:5E:F5:1B:94",,
"node373","eth0","00:14:5E:F5:19:FA",,
"node374","eth0","00:14:5E:F5:12:CA",,
"node376","eth0","00:14:5E:F5:19:A4",,
"node378","eth0","00:14:5E:F5:19:BE",,
"node380","eth0","00:14:5E:F5:1A:3C",,
"node379","eth0","00:14:5E:F5:1B:90",,
"node381","eth0","00:14:5E:F5:15:E0",,
"node370","eth0","00:14:5E:F5:22:CA",,
"node371","eth0","00:14:5E:F5:22:D8",,
"node377","eth0","00:14:5E:F5:1B:E4",,
"node382","eth0","00:14:5E:F5:1B:7A",,
"node410","eth0","00:14:5E:F5:19:48",,
"node1078","eth0","00:1D:09:FC:C2:9C",,
"node1090","eth0","00:1D:09:FC:D0:90",,
"node1100","eth0","00:1D:09:FC:BB:70",,
"node1104","eth0","00:1D:09:FC:C3:50",,
"node1097","eth0","00:1D:09:FC:CB:24",,
"node1232","eth0","00:1d:09:fc:c1:4c",,
"gsa3","eth0","00:21:5A:DE:CB:02",,
"node1353","eth0","00:1D:09:FD:3D:6C",,
"node247","eth0","00:14:5E:3C:9E:52",,
"node248","eth0","00:11:25:9C:9F:26",,
"node249","eth0","00:11:25:9C:A4:64",,
"gapdev01","eth0","00:1D:09:FC:B9:CC",,
"node162","eth0","00:11:25:9c:9f:3a",,
"node375","eth0","00:14:5E:F5:15:DA",,
"node436","eth0","00:1A:64:BD:12:86",,
"node1080","eth0","00:1D:09:FC:D9:E0",,
"node1111","eth0","00:1D:09:FC:C6:60",,
"node1364","eth0","00:1D:09:FD:3D:80",,
"node1366","eth0","00:1D:09:FD:3F:A8",,
"node1367","eth0","00:1D:09:FD:3E:8C",,
"node1401","eth0","00:1D:09:FD:68:DC",,
"node1402","eth0","00:1d:09:fd:68:28",,
"node1403","eth0","00:1d:09:fd:65:58",,
"node1404","eth0","00:1d:09:fd:65:f0",,
"node1405","eth0","00:1d:09:fd:67:a0",,
"node1406","eth0","00:1d:09:fd:67:e0",,
"node1407","eth0","00:1d:09:fd:68:c8",,
"node1065","eth0","00:1D:09:FC:C6:24",,
"node1077","eth0","00:1D:09:FC:C4:94",,
"node1087","eth0","00:1D:09:FC:C8:74",,
"node1091","eth0","00:1D:09:FC:C5:80",,
"node1365","eth0","00:1D:09:FD:3D:F8",,
"node1400","eth0","00:1D:09:FD:66:EC",,
"node369","eth0","00:1A:64:BD:7E:BC",,
"node1105","eth0","00:1D:09:FC:C6:98",,
"berkelium","eth0","00:1a:a0:08:51:6d",,
"node1227","eth0","00:1D:09:FC:E4:5C",,
"node1414","eth0","00:1d:09:fd:65:a0",,
"node1416","eth0","00:1d:09:fd:71:7c",,
"node1417","eth0","00:1d:09:fd:73:20",,
"node1418","eth0","00:1d:09:fd:72:dc",,
"node1420","eth0","00:1d:09:fd:6f:f8",,
"node1421","eth0","00:1d:09:fd:71:b8",,
"node1422","eth0","00:1d:09:fd:70:74",,
"node1423","eth0","00:1d:09:fd:72:bc",,
"node1424","eth0","00:1d:09:fd:70:a4",,
"node1425","eth0","00:1d:09:fd:6d:cc",,
"node1426","eth0","00:1d:09:fd:71:68",,
"node1427","eth0","00:1d:09:fd:72:f4",,
"node1428","eth0","00:1d:09:fd:71:e8",,
"node1429","eth0","00:1d:09:fd:72:cc",,
"node1430","eth0","00:1d:09:fd:71:a4",,
"node1408","eth0","00:1d:09:fd:67:50",,
"node1411","eth0","00:1d:09:fd:66:08",,
"node1412","eth0","00:1d:09:fd:66:24",,
"node1413","eth0","00:1d:09:fd:65:6c",,
"node1415","eth0","00:1d:09:fd:65:5c",,
"node1304","eth0","00:1D:09:FD:2F:9C",,
"node1305","eth0","00:1D:09:FD:22:dC",,
"node1306","eth0","00:1D:09:FD:2F:04",,
"node1307","eth0","00:1D:09:FD:29:2C",,
"node1308","eth0","00:1D:09:FD:29:28",,
"node1310","eth0","00:1D:09:FD:2E:E0",,
"node1311","eth0","00:1D:09:FD:29:24",,
"node1312","eth0","00:1d:09:fd:33:4c",,
"node1313","eth0","00:1D:09:FD:2D:A0",,
"node1314","eth0","00:1D:09:FD:39:68",,
"node1315","eth0","00:1D:09:FD:40:0C",,
"node1316","eth0","00:1D:09:FD:2E:10",,
"node1317","eth0","00:1D:09:FD:30:4C",,
"node1318","eth0","00:1D:09:FD:29:5C",,
"node1319","eth0","00:1D:09:FD:2D:48",,
"node1320","eth0","00:1D:09:FD:2A:F4",,
"node1321","eth0","00:1D:09:FD:31:C0",,
"node1322","eth0","00:1D:09:FD:2B:54",,
"node1323","eth0","00:1D:09:FD:2A:F0",,
"node1324","eth0","00:18:8B:FF:A4:5A",,
"node1325","eth0","00:1D:09:FD:2D:4C",,
"node1327","eth0","00:1D:09:FD:2A:90",,
"node1328","eth0","00:1D:09:FD:31:AC",,
"node1329","eth0","00:1D:09:FD:2A:F8",,
"node1330","eth0","00:1D:09:FD:31:D4",,
"node1331","eth0","00:1D:09:FD:2D:50",,
"node1332","eth0","00:1D:09:FD:2A:D8",,
"node1334","eth0","00:1D:09:FD:2A:9C",,
"node1335","eth0","00:1D:09:FD:30:2C",,
"node1410","eth0","00:1d:09:fd:67:70",,
"node1333","eth0","00:1D:09:FD:31:D8",,
"node1004","eth0","00:1d:09:fc:d3:c8",,
"node1005","eth0","00:1d:09:fc:d7:90",,
"node1006","eth0","00:1d:09:fc:d7:a8",,
"hyacinth","eth0","B8:AC:6F:81:29:A9",,
"node1432","eth0","00:1d:09:fd:6f:a4",,
"node1309","eth0","00:1D:09:FD:34:DC",,
"node1433","eth0","00:1d:09:fd:24:ec",,
"node1434","eth0","00:1d:09:fd:24:f0",,
"node1435","eth0","00:1d:09:fd:6e:f0",,
"node1436","eth0","00:1d:09:fd:6f:44",,
"node1437","eth0","00:1d:09:fd:71:04",,
"node1438","eth0","00:1d:09:fd:25:00",,
"node1439","eth0","00:1d:09:fd:24:e4",,
"node1440","eth0","00:1d:09:fd:19:c0",,
"node1442","eth0","00:1d:09:fd:75:e0",,
"node1443","eth0","00:1d:09:fd:24:e0",,
"node1445","eth0","00:1d:09:fd:70:bc",,
"node1446","eth0","00:1d:09:fd:6b:80",,
"node1447","eth0","00:1d:09:fd:6e:44",,
"node1151","eth0","00:1D:09:FC:DA:78",,
"node1409","eth0","00:1d:09:fd:48:f8",,
"gapqa02","eth0","00:1d:09:fc:c5:c4",,
"cga1","eth0","00:22:19:2f:a2:21",,
"node1444","eth0","00:1d:09:fd:6e:60",,
"node327","eth0","00:14:5E:6D:85:BE",,
"node1083","eth0","00:1D:09:FC:C0:2C",,
"node1326","eth0","00:1D:09:FD:31:B0",,
"node329","eth0","00:14:5E:6D:87:4E",,
"gapqa01","eth0","00:18:8b:ff:ab:6e",,
"erbium","eth0","00:25:64:fc:64:c8",,
"node355","eth0","00:14:5E:F5:12:CE",,
"node356","eth0","00:14:5E:F5:1A:66",,
"node357","eth0","00:14:5E:F5:15:C6",,
"node358","eth0","00:14:5E:F5:16:66",,
"node359","eth0","00:14:5E:F5:16:32",,
"node360","eth0","00:14:5E:F5:16:40",,
"node361","eth0","00:14:5E:F5:1B:88",,
"node362","eth0","00:14:5E:F5:16:1C",,
"node363","eth0","00:14:5E:F5:1B:46",,
"node364","eth0","00:14:5E:F5:1B:38",,
"node365","eth0","00:14:5E:F5:1B:9E",,
"node366","eth0","00:14:5E:F5:1B:8C",,
"node367","eth0","00:14:5E:F5:1A:48",,
"node368","eth0","00:14:5E:F5:1B:72",,
"medpopdev02","eth0","00:14:5E:6D:79:14",,
"astatine","eth0","00:1D:09:17:23:FF",,
"ytterbium","eth0","00:1D:09:17:4A:D5",,
"yttrium","eth0","00:1e:68:37:6c:08",,
"gapprod01","eth0","00:1D:09:FC:BE:70",,
"node1448","eth0","00:1d:09:fd:74:60",,
"node1449","eth0","00:1d:09:fd:74:1c",,
"node1450","eth0","00:1d:09:fd:25:e4",,
"node1451","eth0","00:1d:09:fd:75:40",,
"node1452","eth0","00:1d:09:fd:6b:70",,
"node1453","eth0","00:1d:09:fd:13:54",,
"node1454","eth0","00:1d:09:fd:75:fc",,
"node1455","eth0","00:1d:09:fd:00:58",,
"node1456","eth0","00:1d:09:fd:74:08",,
"node1457","eth0","00:1d:09:fd:6b:68",,
"vitalstatistix","eth0","f4:ce:46:c0:49:dc",,
"salt","eth0","00:14:22:20:34:EB",,
"americium","eth0","00:1a:a0:08:51:54",,
"node1512","eth0","00:1D:09:FD:B1:30",,
"node1513","eth0","00:1D:09:FD:B0:80",,
"node1514","eth0","00:1D:09:FD:B1:BC",,
"node1515","eth0","00:1D:09:FD:B1:D4",,
"node1516","eth0","00:1D:09:FD:AE:FC",,
"node1517","eth0","00:1D:09:FD:B1:10",,
"node1518","eth0","00:1D:09:FD:B3:0C",,
"node1519","eth0","00:1D:09:FD:AF:B0",,
"node1520","eth0","00:1D:09:FD:B3:40",,
"node1521","eth0","00:1D:09:FD:B2:B0",,
"node1522","eth0","00:1D:09:FD:B3:4C",,
"node1523","eth0","00:1D:09:FD:B3:44",,
"node1524","eth0","00:1D:09:FD:B1:48",,
"node1525","eth0","00:1D:09:FD:B3:34",,
"node1526","eth0","00:1D:09:FD:B1:2C",,
"node1527","eth0","00:1D:09:FD:AF:C0",,
"node1496","eth0","00:1D:09:FD:AE:90",,
"node1497","eth0","00:1D:09:FD:B4:D4",,
"node1498","eth0","00:1D:09:FD:AE:8C",,
"node1499","eth0","00:1D:09:FD:AE:A4",,
"node1500","eth0","00:1D:09:FD:6C:9C",,
"node1501","eth0","00:1D:09:FD:AE:70",,
"node1502","eth0","00:1D:09:FD:AB:C4",,
"node1503","eth0","00:1D:09:FD:6C:94",,
"node1504","eth0","00:1D:09:FD:AB:E0",,
"node1505","eth0","00:1D:09:FD:AB:D0",,
"node1506","eth0","00:1D:09:FD:B0:4C",,
"node1507","eth0","00:1D:09:FD:B0:6C",,
"node1508","eth0","00:1D:09:FD:AE:7C",,
"node1509","eth0","00:1D:09:FD:AB:C0",,
"node1510","eth0","00:1D:09:FD:B0:F4",,
"node1511","eth0","00:1D:09:FD:AB:9C",,
"getafix","eth0","00:1E:C9:53:73:18",,
"node1064","eth0","00:1D:09:FC:C1:94",,
"gapprod03","eth0","00:1D:09:FC:C4:80",,
"node1048","eth0","00:1D:09:FC:D3:00",,
"node1049","eth0","00:1D:09:FC:CD:04",,
"node1050","eth0","00:1D:09:FC:C1:78",,
"node1051","eth0","00:1D:09:FC:CD:D4",,
"node1052","eth0","00:1D:09:FC:C8:4C",,
"node1053","eth0","00:1D:09:FC:C6:74",,
"node1054","eth0","00:1D:09:FC:C8:BC",,
"node1055","eth0","00:1D:09:FC:C7:C8",,
"node1056","eth0","00:1D:09:FC:CF:DC",,
"node1057","eth0","00:1D:09:FC:CD:5C",,
"node1058","eth0","00:1D:09:FC:D6:CC",,
"node1059","eth0","00:1D:09:FC:D6:B0",,
"node1060","eth0","00:1D:09:FC:C5:30",,
"node1061","eth0","00:1D:09:FC:B9:98",,
"node1062","eth0","00:1D:09:FC:BC:88",,
"node1063","eth0","00:1D:09:FC:C3:E4",,
"tantalum","eth0","00:1A:A0:0B:67:BE",,
"lutetium","eth0","00:13:72:69:46:6F",,
"node285","eth0","00:14:5E:6D:78:C4",,
"node286","eth0","00:14:5E:6D:78:D2",,
"node287","eth0","00:14:5E:6D:79:18",,
"node288","eth0","00:14:5E:6D:99:F4",,
"node289","eth0","00:14:5E:6D:A7:DA",,
"node290","eth0","00:1A:64:BD:75:5C",,
"node291","eth0","00:14:5E:6D:98:30",,
"node292","eth0","00:14:5E:6D:A8:8A",,
"node293","eth0","00:14:5E:6D:78:D4",,
"node294","eth0","00:14:5E:6D:79:38",,
"node295","eth0","00:14:5E:6D:78:A0",,
"node296","eth0","00:14:5E:6D:98:08",,
"node297","eth0","00:14:5E:6D:78:A6",,
"node298","eth0","00:14:5E:6D:78:F2",,
"node299","eth0","00:14:5E:6D:A6:7A",,
"node300","eth0","00:14:5E:6D:A6:66",,
"node301","eth0","00:14:5E:6D:9A:F6",,
"node302","eth0","00:14:5E:6D:99:82",,
"node303","eth0","00:14:5E:6D:80:16",,
"node304","eth0","00:14:5E:6D:78:D8",,
"node305","eth0","00:14:5E:6D:78:62",,
"node306","eth0","00:14:5E:6D:A3:34",,
"node307","eth0","00:14:5E:6D:7B:DC",,
"node308","eth0","00:14:5E:6D:A7:7A",,
"node309","eth0","00:14:5E:6D:7F:C8",,
"node310","eth0","00:14:5E:6D:7F:FA",,
"node311","eth0","00:14:5E:6D:AA:54",,
"node312","eth0","00:14:5E:6D:45:AA",,
"node411","eth0","00:14:5E:F5:15:E4",,
"node412","eth0","00:14:5E:F5:15:82",,
"node413","eth0","00:14:5E:F5:15:B8",,
"node414","eth0","00:14:5E:F5:11:CA",,
"node415","eth0","00:14:5E:F5:15:CE",,
"node416","eth0","00:14:5E:F5:10:5A",,
"node417","eth0","00:14:5E:F5:15:BC",,
"node418","eth0","00:14:5E:F5:22:24",,
"node419","eth0","00:14:5E:F5:0A:B4",,
"node420","eth0","00:14:5E:F5:16:4A",,
