#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,1.23 TB
total user data,1.05 TB
percent overhead,0.147692

histogram,file size
count,124767,items
average,9047.613923,KB
min,0,KB
max,10481845,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
16,32,1,0.000008,0.999824,17.338634,0.000044,0.993942
32,64,7,0.000056,0.999880,425.563657,0.001079,0.995022
64,128,2,0.000016,0.999896,239.786806,0.000608,0.995630
128,256,13,0.000104,1.000000,1722.968356,0.004370,1.000000

histogram,atime (KB)
count,1128843646,items
average,2.615685,days
min,0,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,593326133,0.525605,0.525605,797245736.599060,0.270006,0.270006
2,4,178705713,0.158309,0.683914,370144209.289749,0.125358,0.395364
4,8,356465374,0.315779,0.999693,1782505007.723188,0.603687,0.999050
8,16,346406,0.000307,1.000000,2802426.696623,0.000949,0.999999
16,32,0,0.000000,1.000000,2.726094,0.000000,0.999999
32,64,6,0.000000,1.000000,417.996371,0.000000,0.999999
64,128,3,0.000000,1.000000,456.331684,0.000000,1.000000
128,256,7,0.000000,1.000000,1090.296837,0.000000,1.000000

